coffee_bean_type,coffee_bean_origin_continent,coffee_bean_bitterness_taste,desired_grams_of_extracted_coffee,desired_brewing_time,grams_of_coffee,taste_like,grind_size
0,0,3,50.4,25,14,2,2.8
0,0,3,60.8,25,11.5,2,2.8
1,1,4,85,25,14,1,2.8
1,1,4,67.2,25,14,2,1.7
1,1,4,61.7,25,14,2,1.7
1,1,4,60.2,25,14,2,1.7
1,1,4,47.3,25,14,6,1.0
1,1,4,52.5,25,14,5,0.8
1,1,4,34.0,25,14,7,0.5
1,1,4,33.2,25,14,8,0.4
1,1,4,32.8,25,14,8,0.3
1,1,4,20.8,25,14,8,0.2
1,1,4,47.6,25,14,6,0.6
1,1,4,40.7,25,14,6,0.6
1,1,4,56.9,25,14,6,0.3
1,1,4,62,25,16,8,1.0
1,1,4,62.7,25,16,8,1.0
1,1,4,60.2,25,16,8,0.8
1,1,4,66.4,25,16,8,0.8
0,0,3,27.1,25,16,2,2.0
0,0,3,55.4,25,16,5,2.5
0,0,3,38.5,25,16,8,2.5
